month,vehicle_class,pqp
2010-02,Category A,18266
2010-02,Category B,19146
2010-02,Category C,18212
2010-02,Category D,867
2010-03,Category A,19331
2010-03,Category B,20926
2010-03,Category C,20029
2010-03,Category D,884
2010-04,Category A,21421
2010-04,Category B,25190
2010-04,Category C,23979
2010-04,Category D,993
2010-05,Category A,25587
2010-05,Category B,32509
2010-05,Category C,29475
2010-05,Category D,1115
2010-06,Category A,27781
2010-06,Category B,36764
2010-06,Category C,32308
2010-06,Category D,1233
2010-07,Category A,29843
2010-07,Category B,39670
2010-07,Category C,32640
2010-07,Category D,1324
2010-08,Category A,30120
2010-08,Category B,38552
2010-08,Category C,30960
2010-08,Category D,1347
2010-09,Category A,31388
2010-09,Category B,40810
2010-09,Category C,30664
2010-09,Category D,1345
2010-10,Category A,31643
2010-10,Category B,41929
2010-10,Category C,31018
2010-10,Category D,1353
2010-11,Category A,31624
2010-11,Category B,43363
2010-11,Category C,30920
2010-11,Category D,1450
2010-12,Category A,33607
2010-12,Category B,44571
2010-12,Category C,31269
2010-12,Category D,1517
2011-01,Category A,38714
2011-01,Category B,52550
2011-01,Category C,31519
2011-01,Category D,1567
2011-02,Category A,40958
2011-02,Category B,59301
2011-02,Category C,32137
2011-02,Category D,1567
2011-03,Category A,42145
2011-03,Category B,62969
2011-03,Category C,31369
2011-03,Category D,1711
2011-04,Category A,40925
2011-04,Category B,60368
2011-04,Category C,30401
2011-04,Category D,2026
2011-05,Category A,42292
2011-05,Category B,57683
2011-05,Category C,28230
2011-05,Category D,2325
2011-06,Category A,44234
2011-06,Category B,57169
2011-06,Category C,26110
2011-06,Category D,2400
2011-07,Category A,47105
2011-07,Category B,59136
2011-07,Category C,26177
2011-07,Category D,2340
2011-08,Category A,51234
2011-08,Category B,64003
2011-08,Category C,28678
2011-08,Category D,2237
2011-09,Category A,52288
2011-09,Category B,68019
2011-09,Category C,32248
2011-09,Category D,2174
2011-10,Category A,51517
2011-10,Category B,67551
2011-10,Category C,32564
2011-10,Category D,2119
2011-11,Category A,50585
2011-11,Category B,67299
2011-11,Category C,33017
2011-11,Category D,2085
2011-12,Category A,52716
2011-12,Category B,70287
2011-12,Category C,35466
2011-12,Category D,2087
2012-01,Category A,53280
2012-01,Category B,72697
2012-01,Category C,38401
2012-01,Category D,1909
2012-02,Category A,51380
2012-02,Category B,71731
2012-02,Category C,40549
2012-02,Category D,1753
2012-03,Category A,51202
2012-03,Category B,71354
2012-03,Category C,44018
2012-03,Category D,1739
2012-04,Category A,52979
2012-04,Category B,74513
2012-04,Category C,47671
2012-04,Category D,1757
2012-05,Category A,57596
2012-05,Category B,81348
2012-05,Category C,52484
2012-05,Category D,1854
2012-06,Category A,59393
2012-06,Category B,85546
2012-06,Category C,54793
2012-06,Category D,1871
2012-07,Category A,60219
2012-07,Category B,86728
2012-07,Category C,56044
2012-07,Category D,1893
2012-08,Category A,61115
2012-08,Category B,86410
2012-08,Category C,56008
2012-08,Category D,1859
2012-09,Category A,64413
2012-09,Category B,87283
2012-09,Category C,56120
2012-09,Category D,1890
2012-10,Category A,66578
2012-10,Category B,87331
2012-10,Category C,57140
2012-10,Category D,1895
2012-11,Category A,68566
2012-11,Category B,86167
2012-11,Category C,57562
2012-11,Category D,1930
2012-12,Category A,70916
2012-12,Category B,86650
2012-12,Category C,58064
2012-12,Category D,1856
2013-01,Category A,75818
2013-01,Category B,89152
2013-01,Category C,59746
2013-01,Category D,1799
2013-02,Category A,83003
2013-02,Category B,93470
2013-02,Category C,60273
2013-02,Category D,1780
2013-03,Category A,84822
2013-03,Category B,93497
2013-03,Category C,58461
2013-03,Category D,1721
2013-04,Category A,81237
2013-04,Category B,84879
2013-04,Category C,55590
2013-04,Category D,1802
2013-05,Category A,71306
2013-05,Category B,74428
2013-05,Category C,55167
2013-05,Category D,1784
2013-06,Category A,65044
2013-06,Category B,65001
2013-06,Category C,56078
2013-06,Category D,1795
2013-07,Category A,64762
2013-07,Category B,69128
2013-07,Category C,57574
2013-07,Category D,1730
2013-08,Category A,68689
2013-08,Category B,73209
2013-08,Category C,59497
2013-08,Category D,1683
2013-09,Category A,72679
2013-09,Category B,77410
2013-09,Category C,63715
2013-09,Category D,1709
2013-10,Category A,76654
2013-10,Category B,78508
2013-10,Category C,69217
2013-10,Category D,1700
2013-11,Category A,79121
2013-11,Category B,83160
2013-11,Category C,72261
2013-11,Category D,1774
2013-12,Category A,78424
2013-12,Category B,84772
2013-12,Category C,67470
2013-12,Category D,1759
2014-01,Category A,76109
2014-01,Category B,82333
2014-01,Category C,58989
2014-01,Category D,1797
2014-02,Category A,73237
2014-02,Category B,78382
2014-02,Category C,51418
2014-02,Category D,1952
2014-03,Category A,73431
2014-03,Category B,76719
2014-03,Category C,50316
2014-03,Category D,2474
2014-04,Category A,74838
2014-04,Category B,79203
2014-04,Category C,52163
2014-04,Category D,3256
2014-05,Category A,75517
2014-05,Category B,79505
2014-05,Category C,49413
2014-05,Category D,3973
2014-06,Category A,71672
2014-06,Category B,76872
2014-06,Category C,44963
2014-06,Category D,4215
2014-07,Category A,66586
2014-07,Category B,71771
2014-07,Category C,40765
2014-07,Category D,4163
2014-08,Category A,62610
2014-08,Category B,66834
2014-08,Category C,42932
2014-08,Category D,4040
2014-09,Category A,63380
2014-09,Category B,67429
2014-09,Category C,47801
2014-09,Category D,4157
2014-10,Category A,63672
2014-10,Category B,69429
2014-10,Category C,50265
2014-10,Category D,4320
2014-11,Category A,64171
2014-11,Category B,71811
2014-11,Category C,54097
2014-11,Category D,4480
2014-12,Category A,64584
2014-12,Category B,72161
2014-12,Category C,57814
2014-12,Category D,4442
2015-01,Category A,65607
2015-01,Category B,72726
2015-01,Category C,59866
2015-01,Category D,4369
2015-02,Category A,66130
2015-02,Category B,74058
2015-02,Category C,58471
2015-02,Category D,4383
2015-03,Category A,63865
2015-03,Category B,73035
2015-03,Category C,54572
2015-03,Category D,4853
2015-04,Category A,62721
2015-04,Category B,71730
2015-04,Category C,55305
2015-04,Category D,5285
2015-05,Category A,63444
2015-05,Category B,72136
2015-05,Category C,56468
2015-05,Category D,5922
2015-06,Category A,66107
2015-06,Category B,74629
2015-06,Category C,55934
2015-06,Category D,6207
2015-07,Category A,66255
2015-07,Category B,75621
2015-07,Category C,53418
2015-07,Category D,6506
2015-08,Category A,62795
2015-08,Category B,70454
2015-08,Category C,50584
2015-08,Category D,6458
2015-09,Category A,59216
2015-09,Category B,65508
2015-09,Category C,49535
2015-09,Category D,6341
2015-10,Category A,56798
2015-10,Category B,61441
2015-10,Category C,47983
2015-10,Category D,6301
2015-11,Category A,56583
2015-11,Category B,60519
2015-11,Category C,45848
2015-11,Category D,6248
2015-12,Category A,56832
2015-12,Category B,59798
2015-12,Category C,44831
2015-12,Category D,6265
2016-01,Category A,56633
2016-01,Category B,58615
2016-01,Category C,45166
2016-01,Category D,6337
2016-02,Category A,53799
2016-02,Category B,56436
2016-02,Category C,45390
2016-02,Category D,6486
2016-03,Category A,49541
2016-03,Category B,50932
2016-03,Category C,45447
2016-03,Category D,6560
2016-04,Category A,46077
2016-04,Category B,47450
2016-04,Category C,45662
2016-04,Category D,6559
2016-05,Category A,45578
2016-05,Category B,46048
2016-05,Category C,45441
2016-05,Category D,6492
2016-06,Category A,46454
2016-06,Category B,48479
2016-06,Category C,44652
2016-06,Category D,6451
2016-07,Category A,49519
2016-07,Category B,51630
2016-07,Category C,44493
2016-07,Category D,6369
2016-08,Category A,51518
2016-08,Category B,54463
2016-08,Category C,46254
2016-08,Category D,6254
2016-09,Category A,53339
2016-09,Category B,56835
2016-09,Category C,48087
2016-09,Category D,6247
2016-10,Category A,52108
2016-10,Category B,56751
2016-10,Category C,48963
2016-10,Category D,6305
2016-11,Category A,51641
2016-11,Category B,56053
2016-11,Category C,48381
2016-11,Category D,6370
2016-12,Category A,51271
2016-12,Category B,55187
2016-12,Category C,48498
2016-12,Category D,6364
2017-01,Category A,50645
2017-01,Category B,52660
2017-01,Category C,48668
2017-01,Category D,6241
2017-02,Category A,50394
2017-02,Category B,52077
2017-02,Category C,48503
2017-02,Category D,6141
2017-03,Category A,49429
2017-03,Category B,50347
2017-03,Category C,48788
2017-03,Category D,6256
2017-04,Category A,50230
2017-04,Category B,52008
2017-04,Category C,48009
2017-04,Category D,6814
2017-05,Category A,50665
2017-05,Category B,52491
2017-05,Category C,44526
2017-05,Category D,7180
2017-06,Category A,50625
2017-06,Category B,54088
2017-06,Category C,37513
2017-06,Category D,7045
2017-07,Category A,48200
2017-07,Category B,52473
2017-07,Category C,34070
2017-07,Category D,6468
2017-08,Category A,45400
2017-08,Category B,50972
2017-08,Category C,35839
2017-08,Category D,6060
2017-09,Category A,44081
2017-09,Category B,50355
2017-09,Category C,40535
2017-09,Category D,5528
2017-10,Category A,42564
2017-10,Category B,50451
2017-10,Category C,42953
2017-10,Category D,5328
2017-11,Category A,41994
2017-11,Category B,50168
2017-11,Category C,45915
2017-11,Category D,5005
2017-12,Category A,42698
2017-12,Category B,51850
2017-12,Category C,51071
2017-12,Category D,5385
2018-01,Category A,42970
2018-01,Category B,52271
2018-01,Category C,50607
2018-01,Category D,5910
2018-02,Category A,42122
2018-02,Category B,50578
2018-02,Category C,46992
2018-02,Category D,6875
2018-03,Category A,39274
2018-03,Category B,44998
2018-03,Category C,40230
2018-03,Category D,7646
2018-04,Category A,38655
2018-04,Category B,40881
2018-04,Category C,37545
2018-04,Category D,7906
2018-05,Category A,38192
2018-05,Category B,38712
2018-05,Category C,35729
2018-05,Category D,7660
2018-06,Category A,38214
2018-06,Category B,37906
2018-06,Category C,33717
2018-06,Category D,7360
2018-07,Category A,37165
2018-07,Category B,36888
2018-07,Category C,32200
2018-07,Category D,7073
2018-08,Category A,34197
2018-08,Category B,34991
2018-08,Category C,31163
2018-08,Category D,6819
2018-09,Category A,32339
2018-09,Category B,33377
2018-09,Category C,30696
2018-09,Category D,6166
2018-10,Category A,30284
2018-10,Category B,32279
2018-10,Category C,29397
2018-10,Category D,5285
2018-11,Category A,29670
2018-11,Category B,32121
2018-11,Category C,28733
2018-11,Category D,4512
2018-12,Category A,27571
2018-12,Category B,31553
2018-12,Category C,28187
2018-12,Category D,3694
2019-01,Category A,26047
2019-01,Category B,31335
2019-01,Category C,28171
2019-01,Category D,3458
